Date,Day of week,Month,Season,Total Hospital Beds,Beds Occupied,Occupancy Rate (%),Daily Admissions,Daily Discharges,Emergency Admissions,ICU Admissions,Department,Public Holiday Indicator,Special Event Indicator,Staff Availability,Average Length of Stay,Year,net_bed_change
2020-01-01,Wednesday,January,Winter,317,215,67.82,92,96,29,7,Cardiology,No,No,87,4.6,2020,-4
2020-01-02,Thursday,January,Winter,444,359,80.86,58,68,28,2,Maternity,No,No,83,3.0,2020,-10
2020-01-03,Friday,January,Winter,384,291,75.78,97,104,24,12,Cardiology,No,No,85,5.4,2020,-7
2020-01-04,Saturday,January,Winter,272,212,77.94,72,71,31,8,ICU,No,No,91,10.6,2020,1
2020-01-05,Sunday,January,Winter,305,283,92.79,65,70,18,6,Cardiology,No,No,84,4.5,2020,-5
2020-01-06,Monday,January,Winter,417,371,88.97,79,70,33,4,General Medicine,No,No,97,6.5,2020,9
2020-01-07,Tuesday,January,Winter,183,162,88.52,33,29,12,4,Maternity,No,No,88,4.1,2020,4
2020-01-08,Wednesday,January,Winter,375,345,92.0,91,94,39,6,Pediatrics,No,Yes,81,5.9,2020,-3
2020-01-09,Thursday,January,Winter,327,258,78.9,49,37,24,3,Maternity,No,No,81,4.3,2020,12
2020-01-10,Friday,January,Winter,403,274,67.99,69,77,32,9,Cardiology,No,No,86,2.2,2020,-8
2020-01-11,Saturday,January,Winter,366,289,78.96,48,41,26,5,Pediatrics,No,No,87,2.1,2020,7
2020-01-12,Sunday,January,Winter,415,273,65.78,55,51,28,3,General Medicine,No,No,99,5.1,2020,4
2020-01-13,Monday,January,Winter,237,225,94.94,102,105,47,17,Orthopedics,No,No,97,5.8,2020,-3
2020-01-14,Tuesday,January,Winter,351,287,81.77,89,93,26,4,Pediatrics,No,No,92,2.5,2020,-4
2020-01-15,Wednesday,January,Winter,321,288,89.72,44,30,13,4,Pediatrics,No,No,92,2.3,2020,14
2020-01-16,Thursday,January,Winter,180,147,81.67,49,41,23,7,Surgery,No,No,95,5.2,2020,8
2020-01-17,Friday,January,Winter,207,175,84.54,102,103,36,11,Cardiology,No,No,92,4.6,2020,-1
2020-01-18,Saturday,January,Winter,371,315,84.91,70,73,20,5,General Medicine,No,No,81,7.5,2020,-3
2020-01-19,Sunday,January,Winter,362,246,67.96,63,62,20,11,Emergency,No,No,80,1.6,2020,1
2020-01-20,Monday,January,Winter,339,291,85.84,74,66,36,12,ICU,No,Yes,81,9.8,2020,8
2020-01-21,Tuesday,January,Winter,216,179,82.87,62,57,20,3,ICU,No,No,92,11.8,2020,5
2020-01-22,Wednesday,January,Winter,235,192,81.7,109,95,36,12,Cardiology,No,No,90,2.2,2020,14
2020-01-23,Thursday,January,Winter,216,185,85.65,59,61,16,2,ICU,No,No,82,8.7,2020,-2
2020-01-24,Friday,January,Winter,331,278,83.99,93,87,50,13,ICU,No,No,80,12.7,2020,6
2020-01-25,Saturday,January,Winter,360,273,75.83,38,47,16,2,Pediatrics,No,No,100,7.1,2020,-9
2020-01-26,Sunday,January,Winter,436,309,70.87,107,96,29,16,Orthopedics,No,No,97,6.1,2020,11
2020-01-27,Monday,January,Winter,332,268,80.72,57,50,19,3,Orthopedics,Yes,No,68,4.3,2020,7
2020-01-28,Tuesday,January,Winter,394,366,92.89,95,85,46,17,Pediatrics,No,No,85,3.2,2020,10
2020-01-29,Wednesday,January,Winter,229,164,71.62,94,97,41,10,Cardiology,Yes,No,71,3.6,2020,-3
2020-01-30,Thursday,January,Winter,427,367,85.95,41,34,19,5,General Medicine,No,No,95,3.1,2020,7
2020-01-31,Friday,January,Winter,209,140,66.99,33,22,15,5,Pediatrics,No,No,98,5.2,2020,11
2020-02-01,Saturday,February,Winter,380,326,85.79,34,44,18,4,Pediatrics,No,No,99,5.2,2020,-10
2020-02-02,Sunday,February,Winter,241,219,90.87,102,91,27,12,Maternity,No,No,87,4.0,2020,11
2020-02-03,Monday,February,Winter,415,290,69.88,89,95,40,14,Emergency,No,No,100,2.5,2020,-6
2020-02-04,Tuesday,February,Winter,231,166,71.86,85,70,44,8,ICU,No,No,85,12.6,2020,15
2020-02-05,Wednesday,February,Winter,380,345,90.79,73,63,19,3,Maternity,No,No,95,3.1,2020,10
2020-02-06,Thursday,February,Winter,292,219,75.0,65,55,32,6,General Medicine,No,No,94,6.7,2020,10
2020-02-07,Friday,February,Winter,235,216,91.91,111,104,56,11,ICU,No,No,84,10.9,2020,7
2020-02-08,Saturday,February,Winter,416,345,82.93,102,102,27,7,Emergency,No,No,80,1.9,2020,0
2020-02-09,Sunday,February,Winter,442,331,74.89,33,31,18,5,Cardiology,No,No,100,2.9,2020,2
2020-02-10,Monday,February,Winter,215,141,65.58,80,66,36,6,Maternity,No,No,81,3.2,2020,14
2020-02-11,Tuesday,February,Winter,181,135,74.59,44,48,11,3,Maternity,No,No,83,4.3,2020,-4
2020-02-12,Wednesday,February,Winter,224,172,76.79,50,44,15,7,Pediatrics,No,No,99,2.8,2020,6
2020-02-13,Thursday,February,Winter,278,236,84.89,112,113,60,9,Orthopedics,No,No,87,3.7,2020,-1
2020-02-14,Friday,February,Winter,437,410,93.82,62,58,23,6,General Medicine,No,No,83,3.5,2020,4
2020-02-15,Saturday,February,Winter,361,267,73.96,41,40,21,2,Orthopedics,No,No,89,3.4,2020,1
2020-02-16,Sunday,February,Winter,203,146,71.92,95,98,52,8,Surgery,No,No,80,4.6,2020,-3
2020-02-17,Monday,February,Winter,190,136,71.58,61,47,27,10,ICU,No,No,91,10.2,2020,14
2020-02-18,Tuesday,February,Winter,285,267,93.68,98,95,26,10,Cardiology,No,No,96,5.8,2020,3
2020-02-19,Wednesday,February,Winter,288,224,77.78,100,101,48,13,General Medicine,Yes,No,77,6.0,2020,-1
2020-02-20,Thursday,February,Winter,206,166,80.58,105,103,46,8,Orthopedics,No,No,98,5.2,2020,2
2020-02-21,Friday,February,Winter,264,221,83.71,25,16,6,4,Surgery,No,No,82,5.8,2020,9
2020-02-22,Saturday,February,Winter,314,285,90.76,38,44,17,4,Maternity,No,Yes,90,4.4,2020,-6
2020-02-23,Sunday,February,Winter,260,215,82.69,96,95,49,7,Maternity,No,No,96,3.4,2020,1
2020-02-24,Monday,February,Winter,313,284,90.73,43,36,19,5,Maternity,No,No,95,4.1,2020,7
2020-02-25,Tuesday,February,Winter,381,320,83.99,98,90,47,14,Emergency,No,No,96,1.4,2020,8
2020-02-26,Wednesday,February,Winter,237,168,70.89,72,59,20,7,General Medicine,No,No,96,2.3,2020,13
2020-02-27,Thursday,February,Winter,360,234,65.0,76,68,24,7,Emergency,No,No,83,1.7,2020,8
2020-02-28,Friday,February,Winter,435,378,86.9,99,105,25,8,General Medicine,No,No,97,5.6,2020,-6
2020-02-29,Saturday,February,Winter,184,147,79.89,61,57,27,4,Emergency,No,No,81,1.8,2020,4
2020-03-01,Sunday,March,Spring,371,322,86.79,72,71,18,4,Cardiology,No,No,92,3.6,2020,1
2020-03-02,Monday,March,Spring,384,334,86.98,83,78,41,6,Cardiology,No,No,95,6.5,2020,5
2020-03-03,Tuesday,March,Spring,362,235,64.92,73,75,24,13,ICU,No,No,89,11.8,2020,-2
2020-03-04,Wednesday,March,Spring,246,172,69.92,25,27,6,4,Surgery,No,No,87,7.2,2020,-2
2020-03-05,Thursday,March,Spring,315,207,65.71,103,99,56,10,Maternity,No,No,88,2.8,2020,4
2020-03-06,Friday,March,Spring,261,203,77.78,115,125,60,20,General Medicine,No,No,82,2.8,2020,-10
2020-03-07,Saturday,March,Spring,390,304,77.95,47,43,18,4,Emergency,No,No,97,2.1,2020,4
2020-03-08,Sunday,March,Spring,309,213,68.93,30,26,15,4,Orthopedics,No,No,82,5.2,2020,4
2020-03-09,Monday,March,Spring,303,263,86.8,74,81,25,5,ICU,No,No,99,9.0,2020,-7
2020-03-10,Tuesday,March,Spring,236,219,92.8,102,112,44,17,Surgery,No,No,86,3.6,2020,-10
2020-03-11,Wednesday,March,Spring,302,223,73.84,66,73,30,3,General Medicine,No,No,85,6.1,2020,-7
2020-03-12,Thursday,March,Spring,226,203,89.82,78,87,32,5,General Medicine,No,No,99,6.5,2020,-9
2020-03-13,Friday,March,Spring,295,197,66.78,39,39,9,2,Emergency,No,No,95,1.7,2020,0
2020-03-14,Saturday,March,Spring,295,203,68.81,114,99,61,18,Pediatrics,No,No,85,5.2,2020,15
2020-03-15,Sunday,March,Spring,196,156,79.59,111,108,34,8,Surgery,No,No,89,4.1,2020,3
2020-03-16,Monday,March,Spring,418,388,92.82,52,45,21,7,Maternity,No,No,87,4.0,2020,7
2020-03-17,Tuesday,March,Spring,243,225,92.59,75,85,36,12,Surgery,No,No,85,6.1,2020,-10
2020-03-18,Wednesday,March,Spring,384,299,77.86,83,74,43,5,Surgery,No,No,86,8.6,2020,9
