Date,Day of week,Month,Season,Total Hospital Beds,Beds Occupied,Occupancy Rate (%),Daily Admissions,Daily Discharges,Emergency Admissions,ICU Admissions,Department,Public Holiday Indicator,Special Event Indicator,Staff Availability,Average Length of Stay,Year,net_bed_change,Calculated Occupancy Rate (%),Month Number,Day,Day of Year,Week of Year,Quarter,Is Weekend,Holiday Flag,Special Event Flag,Department Encoded,Season Encoded,Day of Week,Day of Week Encoded,Lag Occupancy 1 Day,Lag Occupancy 7 Days,Rolling Occupancy 7 Days,Rolling Admissions 7 Days
2020-02-01,Saturday,February,Winter,380,326,85.79,34,44,18,4,Pediatrics,No,No,99,5.2,2020,-10,85.79,2,1,32,5,1,1,0,0,6,3,Saturday,2,66.99,92.0,81.70714285714287,54.42857142857143
2020-02-09,Sunday,February,Winter,442,331,74.89,33,31,18,5,Cardiology,No,No,100,2.9,2020,2,74.89,2,9,40,6,1,1,0,0,0,3,Sunday,3,71.62,67.82,78.47285714285715,81.28571428571429
2020-02-12,Wednesday,February,Winter,224,172,76.79,50,44,15,7,Pediatrics,No,No,99,2.8,2020,6,76.79,2,12,43,7,1,0,0,0,6,3,Wednesday,6,85.79,78.96,81.39714285714285,54.714285714285715
2020-02-17,Monday,February,Winter,190,136,71.58,61,47,27,10,ICU,No,No,91,10.2,2020,14,71.58,2,17,48,8,1,0,0,0,3,3,Monday,1,91.91,77.94,81.95714285714287,77.85714285714286
2020-02-18,Tuesday,February,Winter,285,267,93.68,98,95,26,10,Cardiology,No,No,96,5.8,2020,3,93.68,2,18,49,8,1,0,0,0,0,3,Tuesday,5,74.89,75.78,81.03,81.42857142857143
2020-02-22,Saturday,February,Winter,314,285,90.76,38,44,17,4,Maternity,No,Yes,90,4.4,2020,-6,90.76,2,22,53,8,1,1,0,1,4,3,Saturday,2,74.59,80.86,82.85857142857142,59.857142857142854
2020-02-23,Sunday,February,Winter,260,215,82.69,96,95,49,7,Maternity,No,No,96,3.4,2020,1,82.69,2,23,54,8,1,1,0,0,4,3,Sunday,3,90.76,88.52,82.0257142857143,68.85714285714286
2020-02-24,Monday,February,Winter,313,284,90.73,43,36,19,5,Maternity,No,No,95,4.1,2020,7,90.73,2,24,55,9,1,0,0,0,4,3,Monday,1,82.69,78.9,83.71571428571428,68.0
2020-02-26,Wednesday,February,Winter,237,168,70.89,72,59,20,7,General Medicine,No,No,96,2.3,2020,13,70.89,2,26,57,9,1,0,0,0,2,3,Wednesday,6,77.78,88.97,79.16142857142857,66.42857142857143
2020-02-28,Friday,February,Winter,435,378,86.9,99,105,25,8,General Medicine,No,No,97,5.6,2020,-6,86.9,2,28,59,9,1,0,0,0,2,3,Friday,0,70.89,65.78,82.17857142857143,72.71428571428571
2020-03-01,Sunday,March,Spring,371,322,86.79,72,71,18,4,Cardiology,No,No,92,3.6,2020,1,86.79,3,1,61,9,1,1,0,0,0,1,Sunday,3,93.68,92.79,80.17285714285715,82.42857142857143
2020-03-02,Monday,March,Spring,384,334,86.98,83,78,41,6,Cardiology,No,No,95,6.5,2020,5,86.98,3,2,62,10,1,0,0,0,0,1,Monday,1,86.79,67.99,82.88571428571429,84.42857142857143
2020-03-03,Tuesday,March,Spring,362,235,64.92,73,75,24,13,ICU,No,No,89,11.8,2020,-2,64.92,3,3,63,10,1,0,0,0,3,1,Tuesday,5,71.58,85.84,78.96857142857142,77.71428571428571
2020-03-05,Thursday,March,Spring,315,207,65.71,103,99,56,10,Maternity,No,No,88,2.8,2020,4,65.71,3,5,65,10,1,0,0,0,4,1,Thursday,4,90.73,90.87,80.12142857142858,68.14285714285714
2020-03-06,Friday,March,Spring,261,203,77.78,115,125,60,20,General Medicine,No,No,82,2.8,2020,-10,77.78,3,6,66,10,1,0,0,0,2,1,Friday,0,86.9,84.91,81.16,79.14285714285714
2020-03-09,Monday,March,Spring,303,263,86.8,74,81,25,5,ICU,No,No,99,9.0,2020,-7,86.8,3,9,69,11,1,0,0,0,3,1,Monday,1,64.92,82.87,79.52999999999999,79.42857142857143
2020-03-11,Wednesday,March,Spring,302,223,73.84,66,73,30,3,General Medicine,No,No,85,6.1,2020,-7,73.84,3,11,71,11,1,0,0,0,2,1,Wednesday,6,77.78,85.95,79.42999999999999,82.71428571428571
2020-03-12,Thursday,March,Spring,226,203,89.82,78,87,32,5,General Medicine,No,No,99,6.5,2020,-9,89.82,3,12,72,11,1,0,0,0,2,1,Thursday,4,73.84,75.0,81.54714285714284,84.57142857142857
2020-03-13,Friday,March,Spring,295,197,66.78,39,39,9,2,Emergency,No,No,95,1.7,2020,0,66.78,3,13,73,11,1,0,0,0,1,1,Friday,0,77.95,67.96,75.20285714285716,73.14285714285714
2020-03-14,Saturday,March,Spring,295,203,68.81,114,99,61,18,Pediatrics,No,No,85,5.2,2020,15,68.81,3,14,74,11,1,1,0,0,6,1,Saturday,2,76.79,81.77,79.5457142857143,58.285714285714285
2020-03-16,Monday,March,Spring,418,388,92.82,52,45,21,7,Maternity,No,No,87,4.0,2020,7,92.82,3,16,76,12,1,0,0,0,4,1,Monday,1,65.71,90.79,80.41142857142857,65.14285714285714
2020-03-18,Wednesday,March,Spring,384,299,77.86,83,74,43,5,Surgery,No,No,86,8.6,2020,9,77.86,3,18,78,12,1,0,0,0,7,1,Wednesday,6,92.59,81.67,81.19857142857143,73.71428571428571
2020-03-19,Thursday,March,Spring,322,276,85.71,74,71,29,4,Orthopedics,No,No,95,4.5,2020,3,85.71,3,19,79,12,1,0,0,0,5,1,Thursday,4,68.93,94.94,77.95142857142856,75.14285714285714
2020-03-20,Friday,March,Spring,406,272,67.0,80,72,37,14,Maternity,No,No,91,2.3,2020,8,67.0,3,20,80,12,1,0,0,0,4,1,Friday,0,92.82,65.58,80.61428571428571,65.14285714285714
2020-03-21,Saturday,March,Spring,283,200,70.67,97,103,37,17,Surgery,No,Yes,72,7.3,2020,-6,70.67,3,21,81,12,1,1,0,1,7,1,Saturday,2,77.86,71.92,81.02,74.0
2020-03-22,Sunday,March,Spring,440,334,75.91,90,83,45,11,Cardiology,No,No,98,5.7,2020,7,75.91,3,22,82,12,1,1,0,0,0,1,Sunday,3,86.98,84.54,81.65285714285714,82.71428571428571
2020-03-23,Monday,March,Spring,436,283,64.91,25,30,8,1,Maternity,No,No,84,1.7,2020,-5,64.91,3,23,83,13,1,0,0,0,4,1,Monday,1,67.0,74.59,79.23142857142857,62.42857142857143
2020-03-24,Tuesday,March,Spring,290,205,70.69,31,29,8,2,Maternity,No,No,96,2.4,2020,2,70.69,3,24,84,13,1,0,0,0,4,1,Tuesday,5,64.91,90.76,76.36428571428571,61.42857142857143
2020-03-25,Wednesday,March,Spring,254,175,68.9,34,33,9,4,Orthopedics,No,No,87,5.6,2020,1,68.9,3,25,85,13,1,0,0,0,5,1,Wednesday,6,85.71,70.87,77.67,64.71428571428571
2020-03-26,Thursday,March,Spring,358,297,82.96,115,124,43,20,Emergency,No,No,82,1.4,2020,-9,82.96,3,26,86,13,1,0,0,0,1,1,Thursday,4,66.78,69.88,77.07142857142857,76.85714285714286
2020-03-27,Friday,March,Spring,257,213,82.88,110,114,32,12,Orthopedics,No,No,91,2.0,2020,-4,82.88,3,27,87,13,1,0,0,0,5,1,Friday,0,68.9,80.72,77.97857142857141,72.28571428571429
2020-03-28,Saturday,March,Spring,230,163,70.87,60,68,29,8,Maternity,No,No,85,3.5,2020,-8,70.87,3,28,88,13,1,1,0,0,4,1,Saturday,2,70.69,82.69,74.67571428571429,56.285714285714285
2020-03-29,Sunday,March,Spring,450,301,66.89,65,50,20,6,Surgery,No,No,85,7.1,2020,15,66.89,3,29,89,13,1,1,0,0,7,1,Sunday,3,70.67,83.71,78.61714285714285,79.71428571428571
2020-03-30,Monday,March,Spring,425,323,76.0,32,41,15,1,Orthopedics,No,No,93,2.3,2020,-9,76.0,3,30,90,14,1,0,0,0,5,1,Monday,1,82.88,84.89,76.70857142857143,60.857142857142854
2020-03-31,Tuesday,March,Spring,341,313,91.79,110,118,33,15,Emergency,No,No,86,1.7,2020,-8,91.79,3,31,91,14,1,0,0,0,1,1,Tuesday,5,82.96,82.93,78.33714285714287,78.0
2020-04-01,Wednesday,April,Spring,446,414,92.83,97,87,25,12,Orthopedics,No,No,80,5.4,2020,10,92.83,4,1,92,14,2,0,0,0,5,1,Wednesday,6,76.0,73.96,79.40428571428572,68.85714285714286
2020-04-02,Thursday,April,Spring,384,318,82.81,77,71,40,10,Cardiology,No,No,96,2.3,2020,6,82.81,4,2,93,14,2,0,0,0,0,1,Thursday,4,75.91,81.7,81.81142857142858,78.14285714285714
2020-04-03,Friday,April,Spring,369,247,66.94,41,49,13,6,Cardiology,No,No,82,2.6,2020,-8,66.94,4,3,94,14,2,0,0,0,0,1,Friday,0,82.81,71.62,81.14285714285714,70.57142857142857
2020-04-04,Saturday,April,Spring,279,212,75.99,79,81,30,5,Pediatrics,No,No,99,5.8,2020,-2,75.99,4,4,95,14,2,1,0,0,6,1,Saturday,2,68.81,89.72,77.58428571428571,63.285714285714285
2020-04-05,Sunday,April,Spring,369,239,64.77,48,52,24,7,Orthopedics,No,No,81,5.6,2020,-4,64.77,4,5,96,14,2,1,0,0,5,1,Sunday,3,92.83,80.58,77.14571428571428,60.714285714285715
2020-04-06,Monday,April,Spring,360,280,77.78,115,115,41,12,Maternity,No,No,95,4.5,2020,0,77.78,4,6,97,15,2,0,0,0,4,1,Monday,1,70.87,90.73,72.82571428571428,66.57142857142857
2020-04-07,Tuesday,April,Spring,252,163,64.68,105,100,55,9,Orthopedics,No,No,83,3.9,2020,5,64.68,4,7,98,15,2,0,0,0,5,1,Tuesday,5,64.77,68.93,76.53857142857143,71.42857142857143
2020-04-08,Wednesday,April,Spring,272,225,82.72,69,77,34,5,Orthopedics,No,No,90,7.4,2020,-8,82.72,4,8,99,15,2,0,0,0,5,1,Wednesday,6,64.68,85.71,76.11142857142856,70.71428571428571
2020-04-09,Thursday,April,Spring,415,377,90.84,66,66,36,10,Pediatrics,No,No,90,3.5,2020,0,90.84,4,9,100,15,2,0,0,0,6,1,Thursday,4,75.99,75.83,79.72857142857143,67.28571428571429
2020-04-10,Friday,April,Spring,328,288,87.8,78,72,26,14,Pediatrics,No,No,96,2.5,2020,6,87.8,4,10,101,15,2,0,0,0,6,1,Friday,0,90.84,92.89,79.00142857142858,64.85714285714286
2020-04-11,Saturday,April,Spring,369,280,75.88,90,78,24,15,General Medicine,No,No,84,6.1,2020,12,75.88,4,11,102,15,2,1,0,0,2,1,Saturday,2,89.82,93.82,78.98428571428572,88.57142857142857
2020-04-12,Sunday,April,Spring,216,153,70.83,100,89,40,10,Surgery,No,No,99,7.1,2020,11,70.83,4,12,103,15,2,1,0,0,7,1,Sunday,3,66.89,69.92,78.74714285714286,90.42857142857143
2020-04-13,Monday,April,Spring,232,211,90.95,40,42,15,2,Emergency,No,No,94,1.5,2020,-2,90.95,4,13,104,16,2,0,0,0,1,1,Monday,1,91.79,83.99,79.33142857142857,69.71428571428571
2020-04-14,Tuesday,April,Spring,259,227,87.64,45,44,17,4,Maternity,No,No,82,2.9,2020,1,87.64,4,14,105,16,2,0,0,0,4,1,Tuesday,5,77.78,65.71,75.95857142857143,58.285714285714285
